,carat,cut,color,clarity,depth,table,price,x,y,z
9324,1.03,Premium,F,SI1,60.9,60.0,4579,6.52,6.45,3.95
9325,0.9,Premium,G,VS1,62.7,58.0,4579,6.15,6.06,3.83
9326,1.0,Premium,E,SI2,62.7,58.0,4579,6.41,6.34,4.0
9327,1.0,Very Good,E,SI2,63.3,58.0,4579,6.35,6.32,4.01
9328,1.27,Premium,J,VS2,62.2,58.0,4580,6.88,6.84,4.27
9329,0.9,Very Good,E,VS2,59.1,62.0,4580,6.24,6.28,3.7
9330,0.9,Good,F,VS1,63.5,57.0,4580,6.06,6.09,3.86
9331,0.9,Very Good,E,VS2,62.2,59.0,4580,6.13,6.18,3.83
9332,0.9,Good,E,VS2,63.1,58.0,4580,6.11,6.15,3.87
9333,0.9,Very Good,E,VS2,62.9,57.0,4580,6.16,6.18,3.88
9334,1.2,Very Good,J,SI2,61.8,60.0,4580,6.76,6.83,4.2
9335,1.03,Very Good,D,SI2,63.7,56.0,4580,6.32,6.39,4.05
9336,1.0,Ideal,H,SI2,62.0,55.0,4580,6.39,6.43,3.98
9337,0.94,Premium,E,SI1,62.0,58.0,4580,6.27,6.24,3.88
9338,0.94,Premium,E,SI1,60.0,58.0,4580,6.44,6.37,3.84
9339,0.94,Premium,E,SI1,62.4,56.0,4580,6.27,6.24,3.9
9340,1.11,Premium,E,SI2,62.5,58.0,4581,6.61,6.63,4.14
9341,1.01,Very Good,E,SI2,63.3,58.0,4581,6.37,6.3,4.01
9342,1.0,Good,I,VS1,63.9,56.0,4581,6.37,6.18,4.01
9343,1.03,Ideal,G,SI2,61.8,55.0,4582,6.46,6.51,4.01
9344,1.03,Good,J,VS1,60.1,62.4,4582,6.43,6.49,3.88
9345,1.24,Very Good,J,SI2,62.2,58.0,4583,6.82,6.94,4.28
9346,1.02,Premium,D,SI2,59.3,60.0,4583,6.56,6.52,3.88
9347,1.02,Very Good,D,SI2,58.6,63.0,4583,6.56,6.54,3.84
9348,1.09,Very Good,I,SI2,62.5,57.0,4584,6.56,6.58,4.11
9349,1.11,Very Good,H,SI2,59.0,59.0,4584,6.79,6.82,4.02
9350,0.9,Ideal,H,VS2,59.9,57.0,4584,6.27,6.31,3.77
9351,1.13,Ideal,H,SI2,62.5,57.0,4584,6.67,6.71,4.18
9352,1.01,Ideal,I,SI1,62.4,56.0,4584,6.36,6.4,3.98
9353,1.07,Premium,G,SI2,62.1,59.0,4584,6.54,6.48,4.04
9354,1.03,Ideal,H,SI1,59.7,55.0,4585,6.6,6.64,3.95
9355,1.02,Ideal,E,SI2,62.7,57.0,4585,6.35,6.44,4.01
9356,1.09,Ideal,G,SI2,61.2,57.0,4586,6.63,6.68,4.07
9357,1.09,Ideal,G,SI2,62.1,56.0,4586,6.59,6.66,4.12
9358,1.16,Very Good,I,SI1,62.9,58.0,4586,6.64,6.69,4.19
9359,1.0,Good,F,SI1,63.6,62.0,4586,6.3,6.24,3.99
9360,0.32,Ideal,D,SI1,61.3,55.0,589,4.39,4.42,2.7
9361,0.32,Very Good,D,SI1,62.8,56.0,589,4.37,4.42,2.76
9362,0.32,Premium,D,SI1,61.5,59.0,589,4.39,4.42,2.71
9363,0.32,Ideal,D,SI1,61.3,57.0,589,4.37,4.41,2.69
9364,0.32,Ideal,D,SI1,61.4,57.0,589,4.41,4.42,2.71
9365,0.32,Good,D,SI1,63.1,57.0,589,4.37,4.38,2.76
9366,0.32,Good,D,SI1,63.1,56.0,589,4.34,4.38,2.75
9367,0.32,Good,D,SI1,63.7,55.0,589,4.35,4.38,2.78
9368,0.32,Ideal,D,SI1,62.7,54.0,589,4.37,4.4,2.75
9369,0.32,Very Good,D,SI1,58.3,58.0,589,4.49,4.54,2.63
9370,0.32,Very Good,D,SI1,62.8,56.0,589,4.34,4.35,2.73
9371,0.32,Premium,D,SI1,61.3,60.0,589,4.41,4.43,2.71
9372,0.32,Premium,D,SI1,60.8,58.0,589,4.41,4.44,2.69
9373,0.32,Ideal,D,SI1,61.9,57.0,589,4.36,4.4,2.71
9374,0.32,Ideal,I,VVS1,62.5,55.0,589,4.37,4.4,2.74
9375,0.32,Premium,D,SI1,60.2,58.0,589,4.4,4.43,2.66
9376,0.32,Premium,D,SI1,60.4,58.0,589,4.44,4.47,2.69
9377,0.32,Very Good,I,VVS1,63.0,58.0,589,4.32,4.38,2.74
9378,0.32,Ideal,D,SI1,62.0,57.0,589,4.38,4.42,2.73
9379,0.32,Ideal,I,VVS1,61.7,55.0,589,4.39,4.4,2.71
9380,0.36,Premium,G,VS2,62.5,58.0,589,4.51,4.55,2.83
9381,0.32,Good,D,SI1,63.5,55.0,589,4.31,4.35,2.75
9382,0.32,Ideal,D,SI1,62.0,55.0,589,4.37,4.47,2.74
9383,0.32,Very Good,D,SI1,58.9,60.0,589,4.47,4.49,2.64
9384,0.32,Ideal,D,SI1,61.5,56.0,589,4.39,4.42,2.71
9385,0.32,Good,D,SI1,63.6,56.0,589,4.34,4.37,2.77
9386,0.32,Good,D,SI1,63.3,57.0,589,4.37,4.38,2.77
9387,0.32,Good,D,SI1,63.8,56.0,589,4.33,4.35,2.77
9388,0.32,Ideal,D,SI1,62.5,54.0,589,4.39,4.41,2.75
9389,0.32,Good,D,SI1,63.2,54.0,589,4.36,4.38,2.76
9390,1.0,Premium,F,SI1,61.4,60.0,4586,6.38,6.35,3.91
9391,0.9,Premium,D,VS2,63.0,62.0,4586,6.13,6.06,3.84
9392,1.17,Good,I,SI1,60.0,64.0,4586,6.91,6.83,4.12
9393,1.0,Good,F,SI1,64.1,60.0,4586,6.25,6.19,3.99
9394,1.0,Fair,F,SI1,64.8,58.0,4586,6.26,6.21,4.04
9395,1.03,Ideal,F,SI2,60.5,58.0,4586,6.55,6.49,3.94
9396,1.26,Premium,H,SI2,62.0,56.0,4586,6.92,6.88,4.28
9397,1.0,Very Good,F,SI1,58.1,63.0,4586,6.45,6.36,3.72
9398,1.03,Premium,F,SI2,60.7,60.0,4586,6.52,6.47,3.94
9399,1.03,Premium,F,SI2,61.4,57.0,4586,6.6,6.53,4.03
9400,1.05,Ideal,H,SI2,61.9,56.0,4586,6.56,6.49,4.04
9401,1.03,Premium,F,SI2,62.4,59.0,4586,6.45,6.38,4.0
9402,1.0,Good,F,SI1,63.8,58.0,4586,6.28,6.22,3.99
9403,1.0,Premium,F,SI1,62.2,58.0,4586,6.39,6.35,3.96
9404,0.91,Very Good,D,SI1,63.1,59.0,4586,6.14,6.1,3.86
9405,1.03,Premium,F,SI2,61.6,58.0,4586,6.46,6.43,3.97
9406,1.0,Premium,F,SI1,62.9,57.0,4586,6.37,6.32,3.99
9407,0.92,Ideal,I,VS1,62.3,55.0,4587,6.24,6.28,3.9
9408,0.92,Ideal,H,SI1,61.6,56.0,4587,6.21,6.25,3.84
9409,0.9,Very Good,H,VS2,62.3,59.0,4588,6.13,6.17,3.83
9410,1.01,Very Good,J,VS1,59.5,59.0,4588,6.54,6.6,3.91
9411,1.01,Very Good,D,SI2,62.2,60.0,4588,6.4,6.43,3.99
9412,1.01,Very Good,G,SI1,62.9,61.0,4588,6.36,6.4,4.01
9413,1.01,Good,D,SI2,63.9,57.0,4588,6.29,6.36,4.04
9414,1.01,Good,G,SI1,63.6,57.0,4588,6.33,6.37,4.04
9415,1.01,Very Good,D,SI2,58.3,59.0,4588,6.63,6.67,3.88
9416,1.01,Very Good,G,SI1,62.9,54.0,4588,6.41,6.47,4.05
9417,1.01,Premium,G,SI1,62.5,60.0,4588,6.34,6.39,3.98
9418,1.01,Good,G,SI1,63.5,60.0,4588,6.3,6.33,4.01
9419,1.01,Very Good,G,SI1,59.6,61.0,4588,6.47,6.52,3.87
9420,1.01,Good,G,SI1,63.4,58.0,4588,6.28,6.33,4.0
9421,1.01,Very Good,D,SI2,60.3,57.0,4588,6.51,6.56,3.94
9422,1.01,Good,G,SI1,63.9,57.0,4588,6.3,6.37,4.05
9423,1.01,Ideal,G,SI1,61.8,57.0,4588,6.41,6.46,3.98
9424,1.01,Very Good,D,SI2,61.8,60.0,4588,6.37,6.41,3.95
9425,1.01,Very Good,D,SI2,62.8,59.0,4588,6.34,6.44,4.01
9426,1.28,Premium,H,SI2,62.4,56.0,4588,6.97,6.89,4.34
9427,0.91,Very Good,G,VS1,60.9,54.0,4590,6.27,6.38,3.85
9428,1.2,Very Good,J,VS2,62.5,57.0,4590,6.72,6.79,4.22
9429,1.05,Ideal,F,SI2,60.9,56.0,4591,6.56,6.64,4.02
9430,1.02,Ideal,E,SI1,61.1,56.0,4591,6.45,6.51,3.96
9431,1.09,Very Good,G,SI2,62.1,57.0,4591,6.58,6.63,4.1
9432,1.06,Ideal,I,SI2,62.7,58.0,4591,6.48,6.5,4.07
9433,1.14,Ideal,F,SI2,61.7,56.0,4591,6.71,6.67,4.13
9434,1.19,Premium,I,VS2,59.3,59.0,4591,6.98,6.88,4.11
9435,1.0,Good,H,SI2,57.9,62.0,4592,6.53,6.49,3.77
9436,1.0,Premium,I,SI1,59.6,58.0,4592,6.55,6.5,3.89
9437,1.0,Good,H,VVS2,59.5,64.0,4592,6.44,6.41,3.82
9438,0.9,Very Good,H,VVS2,63.7,57.0,4592,6.09,6.02,3.86
9439,0.9,Very Good,H,VS1,62.3,59.0,4592,6.12,6.17,3.83
9440,1.01,Premium,I,VS2,62.5,58.0,4592,6.39,6.44,4.01
9441,0.9,Ideal,H,VS1,61.6,56.0,4592,6.17,6.13,3.79
9442,0.83,Ideal,F,VS1,62.3,56.4,4592,5.97,6.02,3.73
9443,1.0,Ideal,D,SI1,63.0,56.0,4592,6.33,6.28,3.97
9444,0.9,Ideal,F,SI2,61.8,56.0,4593,6.18,6.21,3.83
9445,0.9,Ideal,F,SI2,61.9,57.0,4593,6.13,6.18,3.81
9446,0.9,Ideal,F,SI2,62.4,55.0,4593,6.17,6.2,3.86
9447,1.02,Very Good,F,SI1,63.0,58.0,4594,6.36,6.4,4.02
9448,1.02,Good,F,SI1,63.5,57.0,4594,6.35,6.4,4.05
9449,1.0,Very Good,D,SI2,62.8,58.0,4595,6.29,6.39,3.98
9450,0.9,Very Good,I,IF,62.6,59.0,4596,6.12,6.15,3.84
9451,0.76,Ideal,F,IF,59.6,58.0,4596,5.95,5.96,3.55
9452,1.0,Good,H,SI1,63.8,53.0,4596,6.39,6.27,4.04
9453,1.14,Premium,I,SI1,60.4,60.0,4596,6.78,6.73,4.08
9454,1.2,Ideal,I,SI2,63.0,57.0,4596,6.77,6.7,4.24
9455,1.07,Premium,F,SI1,61.7,58.0,4597,6.58,6.62,4.07
9456,0.9,Very Good,E,VS2,63.8,55.0,4598,6.11,6.18,3.92
9457,1.09,Very Good,D,SI2,62.2,59.0,4598,6.46,6.49,4.03
9458,1.38,Good,J,SI2,63.7,58.0,4598,7.06,7.01,4.48
9459,1.05,Premium,G,SI2,62.6,62.0,4598,6.49,6.45,4.05
9460,0.92,Premium,E,VS2,61.2,62.0,4600,6.27,6.22,3.82
9461,0.9,Very Good,G,VS2,62.5,57.0,4600,6.12,6.14,3.83
9462,1.51,Very Good,J,I1,63.3,57.0,4600,7.31,7.23,4.6
9463,1.11,Ideal,H,SI2,60.9,56.0,4600,6.71,6.73,4.09
9464,1.01,Fair,E,SI2,57.1,59.0,4600,6.65,6.69,3.81
9465,0.9,Good,D,VS2,63.5,61.0,4601,6.09,6.16,3.89
9466,0.9,Very Good,G,VVS1,62.3,58.0,4601,6.14,6.21,3.85
9467,1.04,Premium,I,SI1,60.7,59.0,4601,6.6,6.57,4.0
9468,1.07,Ideal,J,VS2,61.6,56.3,4602,6.55,6.59,4.04
9469,1.07,Good,J,VS2,61.7,57.7,4602,6.55,6.58,4.05
9470,1.0,Ideal,I,SI1,61.8,55.0,4602,6.41,6.44,3.97
9471,1.06,Ideal,H,SI1,60.8,54.0,4602,6.64,6.61,4.03
9472,1.2,Very Good,H,SI1,61.4,63.0,4603,6.76,6.72,4.14
9473,1.03,Premium,H,SI1,61.1,59.0,4603,6.56,6.5,3.99
9474,1.03,Ideal,H,SI1,62.3,56.0,4603,6.48,6.45,4.03
9475,1.03,Premium,H,SI1,60.0,60.0,4603,6.41,6.4,4.02
9476,1.02,Very Good,H,SI1,62.6,59.0,4604,6.38,6.43,4.01
9477,1.02,Premium,H,SI1,61.9,58.0,4604,6.43,6.47,3.99
9478,1.02,Good,H,SI1,63.5,58.0,4604,6.36,6.39,4.05
9479,1.05,Ideal,H,SI2,61.8,58.0,4604,6.52,6.55,4.04
9480,1.07,Ideal,H,SI2,61.0,55.0,4604,6.62,6.65,4.05
9481,1.01,Ideal,E,SI2,59.6,60.0,4604,6.52,6.6,3.91
9482,1.02,Ideal,H,VS2,62.3,54.0,4604,6.48,6.39,4.01
9483,1.02,Very Good,H,VS2,60.0,63.0,4604,6.54,6.49,3.91
9484,1.02,Very Good,H,VS2,63.3,55.0,4604,6.4,6.33,4.03
9485,1.01,Premium,G,SI1,62.8,59.0,4605,6.43,6.34,4.01
9486,0.91,Very Good,F,VS2,60.8,57.0,4606,6.24,6.25,3.8
9487,1.01,Very Good,D,SI2,62.7,58.0,4606,6.31,6.39,3.98
9488,1.01,Good,D,SI2,64.5,58.0,4606,6.18,6.26,4.01
9489,1.11,Good,H,SI1,64.2,58.0,4606,6.53,6.47,4.17
9490,1.1,Very Good,E,SI2,60.1,62.0,4607,6.65,6.69,4.01
9491,1.05,Very Good,H,SI1,59.5,58.0,4608,6.61,6.69,3.96
9492,1.05,Good,H,SI1,63.1,60.0,4608,6.42,6.49,4.07
9493,1.05,Premium,H,SI1,61.9,58.0,4608,6.45,6.5,4.01
9494,1.05,Ideal,G,SI2,61.8,57.0,4608,6.51,6.57,4.04
9495,1.0,Good,F,SI1,58.1,64.0,4608,6.56,6.6,3.82
9496,1.01,Good,E,SI1,64.7,57.0,4608,6.22,6.29,4.05
9497,1.07,Very Good,E,SI2,60.5,61.0,4609,6.55,6.61,3.98
9498,0.91,Ideal,I,VVS1,60.0,57.0,4609,6.29,6.31,3.83
9499,1.01,Good,H,SI1,63.7,56.0,4610,6.34,6.33,4.08
9500,1.13,Premium,I,VS2,62.0,58.0,4611,6.64,6.69,4.13
9501,0.93,Good,E,SI1,63.1,57.0,4611,6.17,6.19,3.9
9502,0.91,Good,E,SI1,63.6,57.0,4611,6.13,6.1,3.89
9503,1.03,Ideal,H,SI2,61.6,54.0,4611,6.51,6.55,4.02
9504,1.09,Ideal,J,SI1,60.7,58.0,4611,6.64,6.68,4.04
9505,1.2,Premium,J,VS2,61.8,59.0,4611,6.84,6.76,4.2
9506,1.16,Fair,G,SI1,65.9,55.0,4612,6.54,6.51,4.3
9507,0.9,Premium,D,SI1,62.2,60.0,4612,6.14,6.08,3.8
9508,1.01,Ideal,I,SI1,60.2,59.0,4612,6.49,6.54,3.92
9509,0.9,Premium,D,SI1,62.2,58.0,4612,6.18,6.11,3.82
9510,0.9,Premium,D,SI1,62.8,59.0,4612,6.18,6.14,3.87
9511,1.05,Very Good,I,VS2,63.1,58.0,4612,6.47,6.42,4.07
9512,1.22,Good,J,SI1,63.8,57.0,4612,6.77,6.72,4.3
9513,0.9,Ideal,D,SI1,62.7,56.0,4612,6.18,6.16,3.87
9514,0.9,Premium,D,SI1,62.4,61.0,4612,6.17,6.13,3.84
9515,1.11,Premium,F,SI2,58.9,60.0,4612,6.8,6.74,3.99
9516,1.22,Ideal,I,SI2,61.8,57.0,4612,6.9,6.83,4.23
9517,1.07,Ideal,E,SI2,62.4,57.0,4613,6.52,6.55,4.08
9518,1.04,Ideal,E,SI1,62.0,57.0,4613,6.5,6.47,4.02
9519,1.14,Very Good,H,SI2,63.3,57.0,4615,6.6,6.63,4.19
9520,1.01,Premium,F,SI2,62.9,59.0,4616,6.32,6.27,3.96
9521,1.01,Good,H,SI1,59.4,60.0,4616,6.49,6.54,3.87
9522,1.01,Premium,F,SI2,61.7,60.0,4616,6.42,6.36,3.94
9523,0.9,Very Good,F,VS2,61.6,63.0,4617,6.13,6.17,3.79
9524,0.9,Very Good,F,VS2,62.2,57.0,4617,6.17,6.24,3.86
9525,0.9,Good,F,VS2,64.3,57.0,4617,6.07,6.09,3.91
9526,0.9,Very Good,H,VVS2,61.8,60.0,4617,6.11,6.15,3.79
9527,1.02,Very Good,H,SI1,63.0,58.0,4617,6.34,6.4,4.01
9528,1.01,Very Good,H,SI1,60.2,60.0,4617,6.5,6.48,3.91
9529,1.01,Ideal,J,VS2,61.3,56.0,4617,6.46,6.5,3.97
9530,1.01,Ideal,J,VS2,61.1,56.0,4617,6.49,6.51,3.97
9531,0.83,Ideal,F,VS1,61.2,54.0,4617,6.07,6.11,3.73
9532,1.17,Ideal,J,SI1,62.1,57.0,4617,6.74,6.81,4.21
9533,1.05,Premium,G,SI2,63.0,57.0,4618,6.47,6.41,4.06
9534,1.01,Very Good,F,SI1,63.0,58.0,4619,6.31,6.39,4.0
9535,1.01,Good,F,SI1,62.4,59.0,4619,6.3,6.42,3.97
9536,1.01,Very Good,F,SI1,61.9,57.0,4619,6.37,6.42,3.96
9537,1.01,Good,E,SI1,63.2,59.0,4619,6.25,6.28,3.96
9538,1.01,Very Good,H,SI1,58.5,56.0,4619,6.6,6.69,3.89
9539,0.8,Ideal,D,VS1,62.4,56.0,4619,5.94,5.98,3.72
9540,1.13,Premium,H,SI2,61.1,59.0,4619,6.73,6.65,4.09
9541,1.17,Ideal,J,VS2,62.1,56.0,4619,6.8,6.75,4.21
9542,1.0,Premium,E,SI2,61.1,58.0,4620,6.44,6.48,3.95
9543,1.5,Good,I,I1,62.6,63.0,4620,7.19,7.25,4.52
9544,1.0,Good,D,SI2,63.3,56.0,4620,6.35,6.38,4.03
9545,1.0,Good,E,SI2,63.5,56.0,4620,6.31,6.38,4.03
9546,1.0,Very Good,E,SI2,61.4,61.0,4620,6.36,6.41,3.92
9547,1.12,Premium,H,SI2,61.9,58.0,4620,6.66,6.74,4.15
9548,1.0,Very Good,F,SI1,60.3,61.0,4620,6.38,6.43,3.86
9549,1.0,Very Good,E,SI2,62.4,57.0,4620,6.33,6.4,3.97
9550,1.0,Premium,E,SI2,61.7,58.0,4620,6.34,6.39,3.93
9551,1.0,Premium,E,SI2,61.2,60.0,4620,6.42,6.45,3.94
9552,1.26,Ideal,I,SI2,59.6,57.0,4620,7.01,7.04,4.19
9553,1.1,Premium,I,SI1,62.0,59.0,4620,6.59,6.54,4.07
9554,1.0,Very Good,I,VS2,63.5,56.0,4620,6.33,6.3,4.01
9555,1.1,Ideal,H,SI2,62.0,55.0,4620,6.62,6.6,4.1
9556,1.1,Premium,H,SI2,62.2,58.0,4620,6.69,6.6,4.13
9557,1.1,Ideal,H,SI2,62.6,56.0,4620,6.65,6.57,4.14
9558,0.92,Very Good,F,SI1,62.2,55.0,4621,6.19,6.26,3.87
9559,1.01,Very Good,H,SI1,62.6,61.0,4622,6.36,6.39,3.99
9560,1.06,Ideal,H,SI2,60.6,55.0,4622,6.62,6.65,4.02
9561,1.1,Premium,E,SI2,60.9,60.0,4622,6.66,6.61,4.04
9562,1.0,Ideal,E,SI2,62.0,57.0,4623,6.37,6.41,3.96
9563,0.91,Ideal,E,SI1,61.9,55.0,4623,6.18,6.22,3.84
9564,0.98,Premium,H,VS2,59.9,60.0,4623,6.45,6.38,3.84
9565,1.12,Very Good,H,SI2,61.8,58.0,4624,6.62,6.68,4.11
9566,1.1,Ideal,J,SI2,60.1,57.0,4624,6.77,6.74,4.06
9567,1.1,Ideal,I,SI2,62.6,55.0,4624,6.57,6.6,4.13
9568,1.0,Good,I,VS1,59.6,61.0,4624,6.48,6.53,3.88
9569,0.9,Premium,E,VS2,63.0,58.0,4625,6.16,6.13,3.87
9570,1.01,Very Good,I,VS2,61.9,61.0,4626,6.36,6.41,3.95
9571,1.0,Premium,D,SI2,62.2,61.0,4626,6.36,6.3,3.94
9572,1.0,Very Good,G,SI1,63.3,60.0,4626,6.33,6.24,3.98
9573,1.0,Premium,D,SI2,58.3,61.0,4626,6.59,6.54,3.83
9574,1.0,Premium,D,SI2,59.4,60.0,4626,6.56,6.48,3.87
9575,1.0,Premium,D,SI2,61.6,58.0,4626,6.45,6.37,3.95
9576,1.0,Premium,D,SI2,59.5,62.0,4626,6.52,6.49,3.87
9577,1.35,Fair,G,SI2,66.0,58.0,4627,6.89,6.81,4.52
9578,1.08,Premium,G,SI2,62.2,56.0,4627,6.62,6.54,4.09
9579,1.08,Premium,G,SI2,62.3,56.0,4627,6.6,6.52,4.09
9580,1.08,Premium,G,SI2,62.9,59.0,4627,6.57,6.53,4.12
9581,1.08,Ideal,G,SI2,61.9,57.0,4627,6.57,6.55,4.06
9582,1.08,Ideal,G,SI2,62.2,56.0,4627,6.59,6.56,4.09
9583,0.9,Very Good,F,VS2,63.1,59.0,4627,6.13,6.05,3.84
9584,1.0,Very Good,D,SI2,63.2,57.0,4628,6.24,6.32,3.97
9585,0.82,Ideal,D,VS2,60.8,57.0,4628,6.02,6.05,3.67
9586,0.82,Ideal,D,VS2,61.9,56.0,4628,5.98,6.03,3.72
9587,0.95,Premium,E,SI1,62.8,59.0,4628,6.25,6.21,3.91
9588,1.04,Ideal,H,SI1,60.3,57.0,4629,6.55,6.58,3.96
9589,0.94,Premium,H,VS2,60.1,59.0,4629,6.32,6.35,3.81
9590,1.09,Very Good,F,SI2,58.6,63.0,4629,6.73,6.78,3.96
9591,1.0,Very Good,E,SI2,63.0,54.0,4630,6.33,6.37,4.0
9592,1.06,Ideal,I,SI1,61.2,56.0,4630,6.64,6.6,4.05
9593,1.06,Ideal,I,SI1,61.2,56.0,4630,6.64,6.6,4.05
9594,0.81,Ideal,F,VVS2,62.3,54.0,4630,5.94,6.01,3.72
9595,1.04,Ideal,F,SI2,62.6,57.0,4630,6.48,6.45,4.05
9596,1.0,Fair,G,VS1,63.1,63.0,4630,6.38,6.29,4.0
9597,1.04,Ideal,F,SI2,61.8,56.0,4630,6.53,6.49,4.02
9598,1.21,Ideal,G,SI2,62.9,57.0,4631,6.78,6.73,4.25
9599,1.17,Premium,H,SI1,62.6,59.0,4631,6.78,6.71,4.22
9600,0.56,Ideal,D,IF,60.8,58.0,4632,5.35,5.31,3.24
9601,1.01,Very Good,F,SI1,63.5,58.0,4632,6.29,6.24,3.98
9602,1.01,Premium,F,SI1,63.0,58.0,4632,6.33,6.29,3.98
9603,1.01,Good,F,SI1,57.4,57.0,4632,6.52,6.48,3.73
9604,1.02,Good,D,SI2,63.4,59.0,4633,6.37,6.41,4.05
9605,1.02,Very Good,G,SI1,63.0,55.0,4633,6.4,6.45,4.05
9606,1.02,Premium,G,SI1,60.8,58.0,4633,6.46,6.5,3.94
9607,1.02,Premium,G,SI1,62.3,59.0,4633,6.4,6.44,4.0
9608,1.02,Very Good,D,SI2,61.5,56.0,4633,6.47,6.51,3.99
9609,1.02,Ideal,G,SI1,59.2,57.0,4633,6.52,6.56,3.87
9610,1.02,Premium,G,SI1,61.0,59.0,4633,6.44,6.48,3.94
9611,1.02,Very Good,G,SI1,62.0,57.0,4633,6.41,6.5,4.0
9612,1.02,Very Good,D,SI2,60.3,58.0,4633,6.48,6.52,3.92
9613,1.0,Good,J,VVS1,63.5,59.0,4633,6.29,6.34,4.01
9614,1.08,Ideal,J,SI1,62.1,55.0,4633,6.54,6.57,4.07
9615,1.06,Very Good,F,SI2,62.6,60.0,4634,6.54,6.44,4.06
9616,1.01,Fair,F,SI1,65.5,57.0,4634,6.12,6.22,4.04
9617,1.33,Premium,G,SI2,61.3,59.0,4634,7.06,6.93,4.29
9618,0.93,Ideal,H,SI1,62.4,55.0,4635,6.2,6.24,3.88
9619,1.2,Very Good,J,SI2,61.4,55.0,4636,6.85,6.92,4.23
9620,1.28,Premium,J,SI2,62.3,58.0,4636,6.94,6.89,4.31
9621,1.2,Good,J,VS2,64.3,56.0,4637,6.65,6.57,4.25
9622,0.9,Very Good,F,VS2,63.4,57.0,4637,6.19,6.08,3.89
9623,0.9,Premium,G,VS2,61.7,57.0,4637,6.21,6.11,3.8
9624,1.2,Very Good,H,SI1,63.3,56.0,4637,6.75,6.72,4.26
9625,0.9,Very Good,H,VVS2,59.9,61.0,4637,6.29,6.19,3.74
9626,1.0,Good,H,VS2,63.6,61.0,4637,6.21,6.25,3.96
9627,0.92,Premium,H,VVS2,62.5,58.0,4637,6.25,6.16,3.88
9628,0.91,Premium,D,VS2,62.7,59.0,4637,6.16,6.13,3.85
9629,1.15,Premium,I,SI1,62.2,56.0,4637,6.77,6.67,4.18
9630,1.21,Very Good,G,SI1,63.4,60.0,4637,6.68,6.63,4.22
9631,1.21,Fair,G,SI1,64.5,56.0,4637,6.69,6.62,4.29
9632,0.92,Premium,E,SI1,61.7,57.0,4637,6.32,6.2,3.86
9633,1.01,Ideal,I,SI1,61.9,59.0,4638,6.38,6.42,3.96
9634,1.01,Premium,H,SI2,60.3,60.0,4638,6.49,6.47,3.91
9635,0.92,Ideal,H,VS2,60.8,58.0,4639,6.27,6.32,3.83
9636,0.97,Premium,D,SI1,62.0,60.0,4639,6.29,6.25,3.89
9637,1.09,Premium,H,SI2,62.5,58.0,4639,6.61,6.55,4.11
9638,1.09,Very Good,I,SI1,63.2,59.0,4639,6.54,6.5,4.12
9639,1.17,Good,D,SI2,57.8,62.0,4639,6.97,6.91,4.01
9640,1.18,Premium,I,SI2,61.7,58.0,4639,6.79,6.75,4.18
9641,1.1,Very Good,I,SI1,61.2,61.0,4640,6.61,6.66,4.01
9642,1.1,Premium,D,SI2,62.4,58.0,4640,6.57,6.6,4.11
9643,1.09,Very Good,I,SI1,61.4,58.0,4640,6.61,6.69,4.08
9644,1.0,Very Good,I,VS1,63.3,55.0,4641,6.39,6.34,4.03
9645,1.01,Ideal,I,SI1,60.3,58.0,4641,6.5,6.56,3.94
9646,1.01,Good,G,SI1,62.8,58.0,4641,6.36,6.29,3.97
9647,1.12,Premium,H,SI2,59.7,60.0,4641,6.77,6.72,4.03
9648,1.12,Premium,H,SI2,62.0,57.0,4641,6.68,6.61,4.12
9649,1.12,Premium,H,SI1,61.2,59.0,4641,6.69,6.65,4.08
9650,1.12,Premium,I,SI1,62.0,56.0,4641,6.73,6.65,4.15
9651,1.01,Premium,H,SI1,62.5,59.0,4642,6.44,6.33,3.99
9652,0.91,Ideal,F,SI2,62.0,57.0,4642,6.15,6.23,3.84
9653,0.91,Ideal,F,SI2,61.7,56.0,4642,6.21,6.24,3.84
9654,0.91,Ideal,F,SI2,62.0,56.0,4642,6.2,6.22,3.85
9655,1.01,Premium,H,SI1,62.8,58.0,4642,6.38,6.36,4.0
9656,1.01,Very Good,H,SI1,63.4,58.0,4642,6.38,6.34,4.03
9657,1.01,Premium,H,SI1,61.2,58.0,4642,6.47,6.43,3.95
9658,1.01,Premium,H,SI1,63.0,60.0,4642,6.36,6.33,4.0
9659,1.01,Good,H,SI1,60.3,64.0,4642,6.53,6.5,3.93
9660,1.01,Very Good,H,SI1,63.3,58.0,4642,6.4,6.37,4.04
9661,1.01,Ideal,H,SI1,62.4,53.0,4642,6.47,6.42,4.02
9662,1.01,Premium,H,SI1,61.8,60.0,4642,6.48,6.43,3.99
9663,0.9,Very Good,E,VS2,63.0,57.0,4643,6.07,6.15,3.85
9664,1.0,Very Good,F,SI1,62.5,56.0,4643,6.38,6.42,4.0
9665,1.06,Ideal,J,VS2,62.4,54.0,4643,6.51,6.57,4.08
9666,1.35,Ideal,G,I1,62.5,57.0,4643,7.04,7.01,4.39
9667,0.7,Very Good,E,VVS1,63.2,57.0,4644,5.62,5.67,3.57
9668,1.07,Premium,F,SI2,61.8,59.0,4644,6.57,6.53,4.05
9669,1.02,Ideal,E,SI2,62.0,59.0,4645,6.43,6.4,3.98
