PROVINCE,DIVISION,DISTRICT,SUB DIVISION,AREA (sq.km),ALL SEXES (RURAL),MALE (RURAL),FEMALE (RURAL),TRANSGENDER (RURAL),SEX RATIO (RURAL),AVG HOUSEHOLD SIZE (RURAL),POPULATION 1998 (RURAL),ANNUAL GROWTH RATE (RURAL),ALL SEXES (URBAN),MALE (URBAN),FEMALE (URBAN),TRANSGENDER (URBAN),SEX RATIO (URBAN),AVG HOUSEHOLD SIZE (URBAN),POPULATION 1998 (URBAN),ANNUAL GROWTH RATE (URBAN)
PUNJAB,SARGODHA DIVISION,BHAKKAR DISTRICT,MANKERA TEHSIL,1768,242750,124063,118680,7,104.54,5.89,160664,2.19,14145,7180,6962,3,103.13,5.79,9218,2.28
PUNJAB,SARGODHA DIVISION,KHUSHAB DISTRICT,KHUSHAB TEHSIL,2115,392143,195124,197004,15,99.05,6.14,287146,1.65,298014,149700,148273,41,100.96,6.06,192963,2.31
PUNJAB,SARGODHA DIVISION,KHUSHAB DISTRICT,NOORPUR TEHSIL,2500,223051,111905,111123,23,100.7,5.92,159592,1.77,19780,9995,9780,5,102.2,5.67,15091,1.43
PUNJAB,SARGODHA DIVISION,KHUSHAB DISTRICT,NOWSHERA TEHSIL,816,103603,49598,53999,6,91.85,5.8,78970,1.44,13753,6581,7171,1,91.77,5.35,8952,2.28
PUNJAB,SARGODHA DIVISION,KHUSHAB DISTRICT,QUAIDABAD TEHSIL,1080,208615,103786,104816,13,99.02,6.29,151034,1.71,21413,10785,10625,3,101.51,6.24,11963,3.11
PUNJAB,SARGODHA DIVISION,MIANWALI DISTRICT,ISAKHEL TEHSIL,1863,289633,141575,148045,13,95.63,6.84,212529,1.64,84561,41802,42747,12,97.79,6.52,43968,3.5
PUNJAB,SARGODHA DIVISION,MIANWALI DISTRICT,MIANWALI TEHSIL,2689,618946,309003,309905,38,99.71,6.26,429435,1.94,147411,75781,71602,28,105.84,6.04,102721,1.92
PUNJAB,SARGODHA DIVISION,MIANWALI DISTRICT,PIPLAN TEHSIL,1288,306210,155412,150768,30,103.08,6.46,194646,2.41,95840,48396,47435,9,102.03,6.41,73321,1.42
PUNJAB,SARGODHA DIVISION,SARGODHA DISTRICT,BHALWAL TEHSIL,663,234249,117608,116627,14,100.84,5.62,177095,1.48,121957,61417,60521,19,101.48,5.49,77637,2.4
PUNJAB,SARGODHA DIVISION,SARGODHA DISTRICT,BHERA TEHSIL,504,254416,126458,127941,17,98.84,5.89,181739,1.78,59953,30135,29805,13,101.11,5.92,44626,1.56
PUNJAB,SARGODHA DIVISION,SARGODHA DISTRICT,KOT MOMIN TEHSIL,948,386479,196994,189454,31,103.98,6.45,294224,1.44,65499,33253,32226,20,103.19,6.22,44566,2.04
PUNJAB,SARGODHA DIVISION,SARGODHA DISTRICT,SARGODHA TEHSIL,1536,876944,445798,431062,84,103.42,6.28,623019,1.81,658208,333705,324361,142,102.88,6.18,458440,1.92
PUNJAB,SARGODHA DIVISION,SARGODHA DISTRICT,SHAHPUR TEHSIL,769,284663,142231,142423,9,99.87,5.94,211557,1.57,68662,35088,33567,7,104.53,5.97,51190,1.55
PUNJAB,SARGODHA DIVISION,SARGODHA DISTRICT,SILLANWALI TEHSIL,607,306768,155014,151727,27,102.17,6.69,231205,1.5,37719,19057,18657,5,102.14,6.19,23076,2.62
SINDH,Badin Division,BADIN DISTRICT,BADIN TALUKA,1816,322957,166841,156079,37,106.9,4.91,220598,2.02,131619,67672,63924,23,105.86,5,68661,3.48
SINDH,Badin Division,BADIN DISTRICT,GOLARCHI (S.F.RAHU) TALUKA,1642,281087,145296,135779,12,107.01,5.24,163664,2.88,53353,27625,25711,17,107.44,5.26,19027,5.57
SINDH,Badin Division,BADIN DISTRICT,MATLI TALUKA,1143,346413,178283,168105,25,106.05,5.06,226306,2.26,98287,50438,47823,26,105.47,5.4,56967,2.91
SINDH,Badin Division,BADIN DISTRICT,TALHAR TALUKA,569,123329,63538,59783,8,106.28,4.82,84883,1.98,48685,24858,23819,8,104.36,4.83,23019,4.01
SINDH,Badin Division,BADIN DISTRICT,TANDO BAGO TALUKA,1688,340828,176436,164367,25,107.34,4.82,224333,2.22,58400,30190,28199,11,107.06,4.75,18814,6.13
SINDH,Hyderabad Division,DADU DISTRICT,DADU TALUKA,846,279085,144024,135048,13,106.65,5.34,218515,1.29,182580,93729,88831,20,105.51,5.48,109457,2.72
SINDH,Hyderabad Division,DADU DISTRICT,JOHI TALUKA,3509,265358,136451,128864,43,105.89,5.09,189386,1.79,29031,14693,14330,8,102.53,5.19,17997,2.54
SINDH,Hyderabad Division,DADU DISTRICT,KHAIRPUR NATHAN SHAH TALUKA,2583,262064,134109,127898,57,104.86,5.41,203317,1.34,72413,37356,35054,3,106.57,5.36,49992,1.97
SINDH,Hyderabad Division,DADU DISTRICT,MEHAR TALUKA,928,360477,184536,175895,46,104.91,5.53,266365,1.6,99382,50802,48560,20,104.62,5.66,51688,3.49
SINDH,Hyderabad Division,HYDERABAD DISTRICT,HYDERABAD CITY TALUKA,43,0,0,0,0,0,0,7696,0,725153,377362,347701,90,108.53,5.03,517603,1.79
SINDH,Hyderabad Division,HYDERABAD DISTRICT,HYDERABAD TALUKA,711,373410,193286,180086,38,107.33,5.1,263986,1.84,92896,48603,44283,10,109.76,5.14,26446,6.82
SINDH,Hyderabad Division,HYDERABAD DISTRICT,LATIFABAD TALUKA,204,0,0,0,0,0,0,17717,0,703690,365533,338011,146,108.14,4.91,546044,1.34
SINDH,Hyderabad Division,HYDERABAD DISTRICT,QASIMABAD TALUKA,35,0,0,0,0,0,0,12127,0,304779,160432,144326,21,111.16,5.03,103247,5.85
SINDH,Hyderabad Division,JAMSHORO DISTRICT,KOTRI TALUKA,1051,145932,78348,67565,19,115.96,5.48,145489,0.02,292131,153194,138878,59,110.31,5.76,62085,8.48
SINDH,Hyderabad Division,JAMSHORO DISTRICT,MANJHAND TALUKA,2303,119570,62415,57150,5,109.21,5.24,92426,1.36,21196,10882,10314,0,105.51,5.07,7679,5.48
SINDH,Hyderabad Division,JAMSHORO DISTRICT,SEHWAN TALUKA,2160,165467,85449,80007,11,106.8,4.97,121425,1.64,104350,54116,50207,27,107.79,5.07,49164,4.03
SINDH,Hyderabad Division,JAMSHORO DISTRICT,THANO BULA KHAN TALUKA,5690,130318,70918,59391,9,119.41,5.41,91126,1.9,14944,7747,7190,7,107.75,5.85,12700,0.86
SINDH,Hyderabad Division,MATIARI DISTRICT,HALA TALUKA,488,144167,74227,69933,7,106.14,5.84,104921,1.68,118472,61267,57194,11,107.12,5.69,57060,3.91
SINDH,Hyderabad Division,MATIARI DISTRICT,MATIARI TALUKA,568,297950,153639,144272,39,106.49,5.15,188997,2.42,43160,22346,20808,6,107.39,5.12,29068,2.1
SINDH,Hyderabad Division,MATIARI DISTRICT,SAEEDABAD TALUKA,361,145254,74611,70629,14,105.64,5.08,100466,1.96,21037,10832,10205,0,106.14,5.74,13732,2.27
SINDH,Hyderabad Division,SUJAWAL DISTRICT,JATI TALUKA,3489,189707,98600,91083,24,108.25,5.07,116175,2.61,12161,6253,5906,2,105.88,5.16,7782,2.37
SINDH,Hyderabad Division,SUJAWAL DISTRICT,MIRPUR BATHORO TALUKA,698,190520,99141,91353,26,108.53,5.12,135349,1.81,0,0,0,0,0,0,0,0
SINDH,Hyderabad Division,SUJAWAL DISTRICT,SHAH BUNDER TALUKA,3074,142021,74057,67943,21,109,5.08,87174,2.6,20300,10378,9916,6,104.66,4.94,16566,1.07
SINDH,Hyderabad Division,SUJAWAL DISTRICT,SUJAWAL TALUKA,746,161083,83675,77389,19,108.12,5,104013,2.32,17727,9209,8514,4,108.16,5.52,13401,1.48
SINDH,Hyderabad Division,SUJAWAL DISTRICT,CHAMBER TALUKA,483,174017,89467,84533,17,105.84,5.01,114871,2.21,35308,18126,17174,8,105.54,5.06,23286,2.21
SINDH,Hyderabad Division,TANDO ALLAHYAR DISTRICT,JHANDO MARI TALUKA,626,223171,115059,108080,32,106.46,4.96,141913,2.41,36185,18623,17559,3,106.06,4.97,10687,6.62
SINDH,Hyderabad Division,TANDO ALLAHYAR DISTRICT,TANDO ALLAHYAR TALUKA,445,173240,89782,83435,23,107.61,5.12,130486,1.5,17999,9319,8680,0,107.36,4.87,0,0
SINDH,Hyderabad Division,TANDO ALLAHYAR DISTRICT,BULRI SHAH KARIM TALUKA,770,230630,118786,111822,22,106.23,5.12,153434,2.16,213915,110447,103422,46,106.79,5.11,95569,4.32
SINDH,Hyderabad Division,TANDO MUHAMMAD KHAN DISTRICT,TANDO GHULAM HYDER TALUKA,390,150895,77411,73465,19,105.37,5.24,114751,1.45,6381,3292,3087,2,106.64,5.25,4249,2.16
SINDH,Hyderabad Division,TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN TALUKA,263,153536,79437,74070,29,107.25,5.04,100794,2.24,33788,17668,16120,0,109.6,5.64,0,0
SINDH,Hyderabad Division,TANDO MUHAMMAD KHAN DISTRICT,GHORABARI TALUKA,1018,150844,78542,72297,5,108.64,5.27,105482,1.9,101868,52528,49324,16,106.5,4.96,65396,2.36
SINDH,Hyderabad Division,THATTA DISTRICT,KETI BUNDER TALUKA,771,55429,29066,26363,0,110.25,5.13,38897,1.88,23202,11982,11217,3,106.82,5.26,0,0
SINDH,Hyderabad Division,THATTA DISTRICT,MIRPUR SAKRO TALUKA,2958,294561,153190,141363,8,108.37,5.29,175176,2.77,4270,2201,2068,1,106.43,4.73,2513,2.82
SINDH,Hyderabad Division,THATTA DISTRICT,THATTA TALUKA,3823,304828,158445,146379,4,108.24,5.4,216233,1.82,47128,24458,22665,5,107.91,5.48,23676,3.68
SINDH,Hyderabad Division,THATTA DISTRICT,GULBERG TEHSIL,14,0,0,0,0,0,0,0,0,101876,52259,49606,11,105.35,5.67,37515,5.39
SINDH,Karachi Division,KARACHI CENTRAL DISTRICT,LIAQUATABAD TEHSIL,6,0,0,0,0,0,0,0,0,496094,257941,238090,63,108.34,5.12,423517,0.83
SINDH,Karachi Division,KARACHI CENTRAL DISTRICT,NAZIMABAD TEHSIL,8,0,0,0,0,0,0,0,0,449098,233469,215513,116,108.33,5.28,388078,0.77
SINDH,Karachi Division,KARACHI CENTRAL DISTRICT,NEW KARACHI TEHSIL,18,0,0,0,0,0,0,0,0,446347,233024,213259,64,109.27,5.43,366081,1.05
SINDH,Karachi Division,KARACHI CENTRAL DISTRICT,NORTH NAZIMABAD TEHSIL,23,0,0,0,0,0,0,0,0,871245,452843,418282,120,108.26,5.81,580472,2.16
SINDH,Karachi Division,KARACHI CENTRAL DISTRICT,FEROZABAD TEHSIL,20,0,0,0,0,0,0,0,0,708598,364751,343716,131,106.12,5.53,530923,1.53
SINDH,Karachi Division,KARACHI EAST DISTRICT,GULSHAN-E-IQBAL TEHSIL,29,0,0,0,0,0,0,0,0,761631,401237,360249,145,111.38,5.33,521369,2.01
SINDH,Karachi Division,KARACHI EAST DISTRICT,GULZAR-E-HIJRI TEHSIL,79,0,0,0,0,0,0,0,0,841800,433347,408298,155,106.13,5.33,415380,3.78
SINDH,Karachi Division,KARACHI EAST DISTRICT,JAMSHED QUARTERS TEHSIL,11,0,0,0,0,0,0,0,0,792451,421544,370756,151,113.7,6.56,130066,9.96
SINDH,Karachi Division,KARACHI EAST DISTRICT,ARAM BAGH TEHSIL,4,0,0,0,0,0,0,0,0,479433,250660,228699,74,109.6,5.42,380714,1.22
SINDH,Karachi Division,KARACHI SOUTH DISTRICT,CIVIL LINES TEHSIL,73,0,0,0,0,0,0,0,0,128313,69314,58990,9,117.5,4.99,137742,0.37
SINDH,Karachi Division,KARACHI SOUTH DISTRICT,GARDEN TEHSIL,4,0,0,0,0,0,0,0,0,473119,255640,217438,41,117.57,5.24,281590,2.76
SINDH,Karachi Division,KARACHI SOUTH DISTRICT,LYARI TEHSIL,6,0,0,0,0,0,0,0,0,363967,188988,174945,34,108.03,5.32,325716,0.59
SINDH,Karachi Division,KARACHI SOUTH DISTRICT,SADDAR TEHSIL,35,0,0,0,0,0,0,0,0,661926,341179,320658,89,106.4,5.81,594966,0.56
SINDH,Karachi Division,KARACHI SOUTH DISTRICT,BALDIA TEHSIL,34,0,0,0,0,0,0,99,0,141905,75570,66318,17,113.95,5.21,128565,0.52
SINDH,Karachi Division,KARACHI WEST DISTRICT,HARBOUR TEHSIL,50,0,0,0,0,0,0,0,0,832583,434973,397480,130,109.43,6.4,402463,3.89
SINDH,Karachi Division,KARACHI WEST DISTRICT,MANGHOPIR TEHSIL,342,160904,84561,76340,3,110.77,6.84,121426,1.49,401115,214204,186863,48,114.63,5.95,222106,3.16
SINDH,Karachi Division,KARACHI WEST DISTRICT,MAURIPUR TEHSIL,450,121954,64142,57799,13,110.97,5.86,38055,6.31,550332,287384,262911,37,109.31,6.1,0,0
SINDH,Karachi Division,KARACHI WEST DISTRICT,MOMINABAD TEHSIL,19,0,0,0,0,0,0,0,0,70611,38030,32578,3,116.74,6.39,35879,3.62
SINDH,Karachi Division,KARACHI WEST DISTRICT,ORANGI TEHSIL,9,0,0,0,0,0,0,23514,0,845797,438296,407422,79,107.58,5.78,637407,1.5
SINDH,Karachi Division,KARACHI WEST DISTRICT,SITE TEHSIL,25,0,0,0,0,0,0,0,0,520195,271646,248524,25,109.3,6.29,319177,2.6
SINDH,Karachi Division,KARACHI WEST DISTRICT,KORANGI TEHSIL,59,0,0,0,0,0,0,0,0,403574,222883,180663,28,123.37,6.23,327639,1.1
SINDH,Karachi Division,KORANGI DISTRICT,LANDHI TEHSIL,19,0,0,0,0,0,0,0,0,1126141,594709,531253,179,111.94,6.05,529837,4.04
SINDH,Karachi Division,KORANGI DISTRICT,MODEL COLONY TEHSIL,9,0,0,0,0,0,0,0,0,546196,283476,262645,75,107.93,5.86,428937,1.28
SINDH,Karachi Division,KORANGI DISTRICT,SHAH FAISAL TEHSIL,21,0,0,0,0,0,0,0,0,384389,197401,186906,82,105.62,5.4,262199,2.03
SINDH,Karachi Division,KORANGI DISTRICT,AIRPORT TEHSIL,41,0,0,0,0,0,0,0,0,520830,271575,249095,160,109.02,5.52,387636,1.56
SINDH,Karachi Division,MALIR DISTRICT,BIN QASIM TEHSIL,447,248098,132391,115668,39,114.46,5.92,108045,4.47,195143,104861,90264,18,116.17,5.84,73928,5.23
SINDH,Karachi Division,MALIR DISTRICT,GADAP TEHSIL,1104,64153,34756,29396,1,118.23,4.58,35883,3.1,0,0,0,0,0,0,0,0
SINDH,Karachi Division,MALIR DISTRICT,IBRAHIM HYDRI TEHSIL,97,385776,203681,182077,18,111.87,6.18,105192,7.07,0,0,0,0,0,0,0,0
SINDH,Karachi Division,MALIR DISTRICT,MURAD MEMON TEHSIL,195,129761,69080,60679,2,113.84,5.05,67647,3.48,670004,363324,306620,60,118.49,6.4,371603,3.15
SINDH,Karachi Division,MALIR DISTRICT,SHAH MUREED TEHSIL,276,29846,15699,14147,0,110.97,4.49,17434,2.87,201565,105073,96478,14,108.91,5.2,135033,2.13
SINDH,Larkana Division,JACOBABAD DISTRICT,GARHI KHAIRO TALUKA,733,146400,74255,72130,15,102.95,5.6,105642,1.73,12619,6320,6299,0,100.33,5.24,11565,0.46
SINDH,Larkana Division,JACOBABAD DISTRICT,JACOBABAD TALUKA,664,191480,98075,93381,24,105.03,5.95,129218,2.09,191098,97597,93437,64,104.45,5.72,138780,1.69
SINDH,Larkana Division,JACOBABAD DISTRICT,THUL TALUKA,1301,371911,190691,181181,39,105.25,5.48,312860,0.91,93501,47848,45633,20,104.85,5.48,29125,6.32
SINDH,Larkana Division,KAMBAR SHAHDAD KOT DISTRICT,KAMBAR ALI KHAN TALUKA,2260,292404,149000,143364,40,103.93,6.33,210565,1.74,100970,51678,49270,22,104.89,5.96,58369,2.92
SINDH,Larkana Division,KAMBAR SHAHDAD KOT DISTRICT,MIRO KHAN TALUKA,374,115622,58917,56690,15,103.93,5.92,89891,1.33,42312,21662,20644,6,104.93,5.98,8891,8.54
SINDH,Larkana Division,KAMBAR SHAHDAD KOT DISTRICT,NASIRABAD TALUKA,309,113591,57725,55848,18,103.36,6.07,90302,1.21,37819,19209,18608,2,103.23,5.89,23477,2.54
SINDH,Larkana Division,KAMBAR SHAHDAD KOT DISTRICT,QUBO SAEED KHAN TALUKA,1033,58144,29585,28554,5,103.61,6.08,63706,0.48,27623,14028,13592,3,103.21,5.76,0,0
SINDH,Larkana Division,KAMBAR SHAHDAD KOT DISTRICT,SHAHDAD KOT TALUKA,419,83629,42166,41451,12,101.72,6.19,66183,1.24,118935,60367,58552,16,103.1,6.02,60436,3.62
SINDH,Larkana Division,KAMBAR SHAHDAD KOT DISTRICT,SUJAWAL JUNEJO TALUKA,385,117467,59729,57723,15,103.48,6.28,83026,1.84,0,0,0,0,0,0,0,0
SINDH,Larkana Division,KAMBAR SHAHDAD KOT DISTRICT,WARAH TALUKA,695,160375,81454,78904,17,103.23,5.85,153672,0.22,69144,35047,34090,7,102.81,5.44,15776,8.07
SINDH,Larkana Division,KASHMORE DISTRICT,KANDHKOT TALUKA,654,229942,119612,110303,27,108.44,5.48,124800,3.26,136169,70458,65695,16,107.25,5.56,92647,2.04
SINDH,Larkana Division,KASHMORE DISTRICT,KASHMORE TALUKA,1262,343986,177490,166468,28,106.62,6.2,208925,2.65,90980,47172,43786,22,107.73,5.95,59974,2.21
SINDH,Larkana Division,KASHMORE DISTRICT,TANGWANI TALUKA,664,262749,136330,126398,21,107.86,5.89,175474,2.14,26510,13601,12908,1,105.37,5.62,15300,2.93
SINDH,Larkana Division,LARKANA DISTRICT,BAKRANI TALUKA,425,196995,100437,96535,23,104.04,5.67,166025,0.9,32205,16274,15925,6,102.19,5.77,5788,9.44
SINDH,Larkana Division,LARKANA DISTRICT,DOKRI TALUKA,412,162757,83175,79568,14,104.53,5.86,123408,1.46,62202,31491,30707,4,102.55,5.74,45625,1.64
SINDH,Larkana Division,LARKANA DISTRICT,LARKANA TALUKA,549,247204,126010,121161,33,104,5.94,164270,2.17,488006,249599,238230,177,104.77,5.69,270283,3.15
SINDH,Larkana Division,LARKANA DISTRICT,RATODERO TALUKA,562,215932,109819,106068,45,103.54,5.75,157842,1.66,116485,59129,57336,20,103.13,6.06,68367,2.84
SINDH,Larkana Division,SHIKARPUR DISTRICT,GARHI YASIN TALUKA,971,280636,143920,136699,17,105.28,5.96,202962,1.72,35937,18433,17499,5,105.34,5.93,25004,1.92
SINDH,Larkana Division,SHIKARPUR DISTRICT,KHANPUR TALUKA,629,251221,131793,119414,14,110.37,6.35,173075,1.98,24919,12790,12126,3,105.48,5.78,18606,1.55
SINDH,Larkana Division,SHIKARPUR DISTRICT,LAKHI TALUKA,351,201329,102838,98487,4,104.42,5.8,154812,1.39,47427,24345,23080,2,105.48,5.65,33486,1.85
SINDH,Larkana Division,SHIKARPUR DISTRICT,SHIKARPUR TALUKA,561,196133,100919,95206,8,106,5.67,137610,1.88,196158,100520,95619,19,105.13,5.97,134883,1.99
SINDH,Mirpurkhas Division,MIRPUR KHAS DISTRICT,DIGRI TALUKA,572,140304,72370,67918,16,106.55,5.29,106626,1.45,73713,37944,35761,8,106.1,5.53,40646,3.18
SINDH,Mirpurkhas Division,MIRPUR KHAS DISTRICT,HUSSAIN BUX MARI TALUKA,209,150226,77693,72506,27,107.15,5.21,83219,3.15,0,0,0,0,0,0,0,0
SINDH,Mirpurkhas Division,MIRPUR KHAS DISTRICT,JHUDO TALUKA,363,142462,73721,68732,9,107.26,5.04,103811,1.68,59388,30781,28598,9,107.63,5.43,42202,1.81
SINDH,Mirpurkhas Division,MIRPUR KHAS DISTRICT,KOT GHULAM MUHAMMAD TALUKA,762,244090,125811,118224,55,106.42,5.11,161501,2.19,29042,14935,14103,4,105.9,5.26,17507,2.69
SINDH,Mirpurkhas Division,MIRPUR KHAS DISTRICT,MIRPUR KHAS TALUKA,24,26155,13441,12708,6,105.77,5.71,11735,4.3,234133,120114,113984,35,105.38,5.68,189671,1.11
SINDH,Mirpurkhas Division,MIRPUR KHAS DISTRICT,SHUJAABAD TALUKA,396,147733,76277,71433,23,106.78,5.18,88634,2.72,21000,10828,10168,4,106.49,4.9,10149,3.89
SINDH,Mirpurkhas Division,MIRPUR KHAS DISTRICT,SINDHRI TALUKA,599,219389,113515,105847,27,107.24,5.07,150628,2,16805,8716,8089,0,107.75,4.93,0,0
SINDH,Mirpurkhas Division,THARPARKAR DISTRICT,CHACHRO TALUKA,3386,327492,180400,147078,14,122.66,6.5,167235,3.59,23315,12839,10473,3,122.59,5.21,0,0
SINDH,Mirpurkhas Division,THARPARKAR DISTRICT,DAHLI TALUKA,2126,298045,165279,132753,13,124.5,7.16,165289,3.15,7484,4262,3222,0,132.28,7.46,0,0
SINDH,Mirpurkhas Division,THARPARKAR DISTRICT,DIPLO TALUKA,2872,135729,70873,64833,23,109.32,4.53,82344,2.66,13142,6857,6283,2,109.14,4.56,9703,1.61
SINDH,Mirpurkhas Division,THARPARKAR DISTRICT,ISLAMKOT TALUKA,3515,225927,118559,107343,25,110.45,4.91,127399,3.06,18512,9579,8930,3,107.27,4.58,10427,3.06
SINDH,Mirpurkhas Division,THARPARKAR DISTRICT,KALOI TALUKA,922,117609,60614,56975,20,106.39,4.69,73651,2.49,0,0,0,0,0,0,0,0
SINDH,Mirpurkhas Division,THARPARKAR DISTRICT,MITHI TALUKA,2954,161621,84594,77003,24,109.86,4.89,105440,2.27,58280,30490,27784,6,109.74,4.7,19697,5.86
SINDH,Mirpurkhas Division,THARPARKAR DISTRICT,NAGAR PARKAR TALUKA,3862,248079,130477,117579,23,110.97,5.04,153106,2.57,11801,6195,5606,0,110.51,4.88,0,0
SINDH,Mirpurkhas Division,UMER KOT DISTRICT,KUNRI TALUKA,585,179266,92326,86929,11,106.21,5.06,130349,1.69,39194,19940,19237,17,103.65,5.08,27866,1.81
SINDH,Mirpurkhas Division,UMER KOT DISTRICT,PITHORO TALUKA,855,107033,55282,51746,5,106.83,5.11,71204,2.16,12972,6627,6342,3,104.49,4.88,9978,1.39
SINDH,Mirpurkhas Division,UMER KOT DISTRICT,SAMARO TALUKA,959,160967,82738,78185,44,105.82,4.97,105274,2.26,9249,4782,4465,2,107.1,4.87,7373,1.2
SINDH,Mirpurkhas Division,UMER KOT DISTRICT,UMER KOT TALUKA,3209,382666,198684,183951,31,108.01,5.08,246506,2.34,182122,96091,85986,45,111.75,4.91,66247,5.46
SINDH,Shaheed Benazirabad Division,NAUSHAHRO FEROZE DISTRICT,BHIRIA TALUKA,488,239455,123408,116034,13,106.36,5.75,165747,1.95,62089,31979,30100,10,106.24,5.89,38373,2.56
SINDH,Shaheed Benazirabad Division,NAUSHAHRO FEROZE DISTRICT,KANDIARO TALUKA,771,283507,145438,138045,24,105.36,6.02,200572,1.83,38869,19769,19090,10,103.56,6.82,21957,3.05
SINDH,Shaheed Benazirabad Division,NAUSHAHRO FEROZE DISTRICT,MEHRABPUR TALUKA,361,169661,87512,82134,15,106.55,5.86,124659,1.63,76988,39496,37482,10,105.37,5.88,30686,4.95
SINDH,Shaheed Benazirabad Division,NAUSHAHRO FEROZE DISTRICT,MORO TALUKA,609,273131,142002,131100,29,108.32,5.45,204218,1.54,95448,49333,46085,30,107.05,5.6,61033,2.38
SINDH,Shaheed Benazirabad Division,NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE TALUKA,717,267060,138197,128815,48,107.28,5.77,199971,1.53,105839,54258,51561,20,105.23,5.92,40355,5.2
SINDH,Shaheed Benazirabad Division,SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,440,125985,65078,60897,10,106.87,5.42,77287,2.6,27208,14101,13103,4,107.62,5.46,12804,4.04
SINDH,Shaheed Benazirabad Division,SANGHAR DISTRICT,KHIPRO TALUKA,5933,281837,147043,134773,21,109.1,5.12,199509,1.83,50996,26340,24644,12,106.88,5.62,25580,3.69
SINDH,Shaheed Benazirabad Division,SANGHAR DISTRICT,SANGHAR TALUKA,2118,339307,176143,163139,25,107.97,5.53,203861,2.71,93485,48029,45447,9,105.68,5.3,61021,2.27
SINDH,Shaheed Benazirabad Division,SANGHAR DISTRICT,SHAHDADPUR TALUKA,890,265945,136878,129042,25,106.07,5.43,219140,1.02,191083,98129,92916,38,105.61,5.63,90587,4
SINDH,Shaheed Benazirabad Division,SANGHAR DISTRICT,SINJHORO TALUKA,907,260082,133888,126157,37,106.13,5.53,163057,2.48,56922,29298,27612,12,106.11,5.59,36417,2.37
SINDH,Shaheed Benazirabad Division,SANGHAR DISTRICT,TANDO ADAM TALUKA,440,204998,105880,99086,32,106.86,5.36,125711,2.6,152025,78244,73762,19,106.08,6.03,104907,1.97
SINDH,Shaheed Benazirabad Division,SHAHEED BENAZIRABAD DISTRICT,DAUR TALUKA,2210,384652,198949,185677,26,107.15,5.52,276514,1.75,93341,48152,45176,13,106.59,5.55,28111,6.51
SINDH,Shaheed Benazirabad Division,SHAHEED BENAZIRABAD DISTRICT,KAZI AHMED TALUKA,972,297638,154613,142995,30,108.12,5.27,208849,1.88,51306,26447,24848,11,106.44,5.35,37948,1.6
SINDH,Shaheed Benazirabad Division,SHAHEED BENAZIRABAD DISTRICT,NAWABSHAH TALUKA,435,134064,69403,64637,24,107.37,5.21,92058,1.99,279338,143911,135385,42,106.3,5.78,189244,2.07
SINDH,Shaheed Benazirabad Division,SHAHEED BENAZIRABAD DISTRICT,SAKRAND TALUKA,885,307342,157749,149563,30,105.47,5.09,242804,1.25,65825,34011,31808,6,106.93,5.16,27056,4.78
SINDH,Sukkur Division,GHOTKI DISTRICT,DAHARKI TALUKA,2088,224423,116233,108173,17,107.45,5.71,143539,2.38,86286,44846,41431,9,108.24,5.86,34615,4.92
SINDH,Sukkur Division,GHOTKI DISTRICT,GHOTKI TALUKA,763,382741,196603,186086,52,105.65,5.54,238468,2.52,124346,64169,60150,27,106.68,5.45,60166,3.89
SINDH,Sukkur Division,GHOTKI DISTRICT,KHANGARH TALUKA,1986,119244,61430,57808,6,106.27,5.45,86173,1.72,30423,15564,14854,5,104.78,5.24,0,0
SINDH,Sukkur Division,GHOTKI DISTRICT,MIRPUR MATHELO TALUKA,593,252551,129463,123074,14,105.19,5.25,155999,2.56,75270,39014,36246,10,107.64,5.31,42421,3.06
SINDH,Sukkur Division,GHOTKI DISTRICT,UBAURO TALUKA,653,308928,159987,148921,20,107.43,5.79,186117,2.7,44496,22963,21528,5,106.67,6.1,21299,3.95
SINDH,Sukkur Division,KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,946,180739,92903,87833,3,105.77,5.2,130530,1.72,43349,22096,21253,0,103.97,5.06,15906,5.41
SINDH,Sukkur Division,KHAIRPUR DISTRICT,GAMBAT TALUKA,582,169334,87377,81954,3,106.62,6.13,132370,1.3,93884,48256,45623,5,105.77,6.08,40882,4.46
SINDH,Sukkur Division,KHAIRPUR DISTRICT,KHAIRPUR TALUKA,585,208567,107578,100984,5,106.53,5.56,150316,1.74,231845,120044,111752,49,107.42,5.71,124939,3.3
SINDH,Sukkur Division,KHAIRPUR DISTRICT,KINGRI TALUKA,531,245116,125674,119438,4,105.22,6.1,184360,1.51,95181,48885,46291,5,105.6,5.87,44270,4.1
SINDH,Sukkur Division,KHAIRPUR DISTRICT,KOT DIJI TALUKA,520,262926,135854,127072,0,106.91,5.89,182369,1.94,85656,44131,41516,9,106.3,5.92,45599,3.37
SINDH,Sukkur Division,KHAIRPUR DISTRICT,MIRWAH TALUKA,631,258899,133128,125771,0,105.85,5.96,183203,1.83,93865,48210,45646,9,105.62,5.9,43170,4.16
SINDH,Sukkur Division,KHAIRPUR DISTRICT,NARA TALUKA,11611,122023,64315,57708,0,111.45,5.69,92387,1.47,38620,20214,18404,2,109.83,5.45,0,0
